label,x,y
BIOCARTA_CHREBP_PATHWAY,10.189899885346428,0.6647770658337508
BIOCARTA_CIRCADIAN_PATHWAY,9.864995804951867,-1.107298982118045
BIOCARTA_CK1_PATHWAY,-1.218357083759967,-2.2283258497619043
BIOCARTA_CLASSIC_PATHWAY,10.012731166495897,18.327856821998967
BIOCARTA_COMP_PATHWAY,9.888921698645635,17.97784689111087
BIOCARTA_CPSF_PATHWAY,11.420587411205203,7.200769680631969
BIOCARTA_CREB_PATHWAY,12.218424609609457,-1.7552282614667911
BIOCARTA_CREM_PATHWAY,-7.280048005668437,3.583548493707209
BIOCARTA_CSK_PATHWAY,3.571058797374895,-10.275149572752397
BIOCARTA_CTBP1_PATHWAY,18.601532080439892,9.321108460662554
BIOCARTA_CTCF_PATHWAY,12.865392637232398,-7.54911205964141
BIOCARTA_CTLA4_PATHWAY,-2.8517708284859746,3.1069663366660127
BIOCARTA_CTL_PATHWAY,4.941147030436424,-10.424726326833671
BIOCARTA_CXCR4_PATHWAY,19.733802281913388,2.352712054716313
BIOCARTA_CYTOKINE_PATHWAY,-5.398314635309946,8.735949061452484
BIOCARTA_D4GDI_PATHWAY,12.252729945905298,-8.660296555285871
BIOCARTA_DC_PATHWAY,-3.606831698808749,5.036025861632528
BIOCARTA_DEATH_PATHWAY,16.52162866843894,1.1897998578820992
BIOCARTA_DICER_PATHWAY,-2.8174994482350932,-1.0367421826549315
BIOCARTA_DNAFRAGMENT_PATHWAY,8.919851735007104,4.343054076771122
BIOCARTA_DREAM_PATHWAY,8.295714336578639,-7.542632761688569
BIOCARTA_DSP_PATHWAY,15.833149992313206,0.741149942925025
BIOCARTA_ECM_PATHWAY,20.89280958724045,8.090559318852103
BIOCARTA_EDG1_PATHWAY,11.068061957363037,-6.114677446133123
BIOCARTA_EEA1_PATHWAY,18.70705270700915,3.399930498974999
BIOCARTA_EFP_PATHWAY,6.50741863023395,4.643665382146052
BIOCARTA_EGFR_SMRTE_PATHWAY,13.326047453000287,2.7665808034292847
BIOCARTA_EGF_PATHWAY,19.29158764521269,2.5181280815412617
BIOCARTA_EICOSANOID_PATHWAY,-3.814264035435051,2.0966083628847185
BIOCARTA_EIF2_PATHWAY,16.71853622987462,13.511841251145226
BIOCARTA_EIF4_PATHWAY,18.044321964171203,2.6025845292961916
BIOCARTA_EIF_PATHWAY,16.079621810671107,17.37206226400263
BIOCARTA_EOSINOPHILS_PATHWAY,-7.343514130822242,10.267644534353302
BIOCARTA_EPHA4_PATHWAY,-6.870304814971446,-0.5422859850195356
BIOCARTA_EPONFKB_PATHWAY,19.120812789401946,1.0208493835840136
BIOCARTA_EPO_PATHWAY,20.83271486231102,4.107841960776656
BIOCARTA_ERAD_PATHWAY,16.317631418392857,17.722804476684846
BIOCARTA_ERBB3_PATHWAY,3.61856525837958,-3.9375612545018095
BIOCARTA_ERBB4_PATHWAY,-7.538290358116894,3.777941380236363
BIOCARTA_ERK5_PATHWAY,18.800456621447076,1.4519550702340989
BIOCARTA_ERK_PATHWAY,21.461670652590755,2.2797061306869146
BIOCARTA_ERYTH_PATHWAY,-4.40583368555229,9.388190144594226
BIOCARTA_ETC_PATHWAY,13.907719467350386,18.00487456297745
BIOCARTA_ETS_PATHWAY,20.991559903869817,3.670950015838474
BIOCARTA_EXTRINSIC_PATHWAY,8.2563144615599,17.11035681362322
BIOCARTA_FAS_PATHWAY,15.313554526578912,-3.114363623746151
BIOCARTA_FBW7_PATHWAY,11.609105710047556,8.459590891463192
BIOCARTA_FCER1_PATHWAY,14.219819902281458,-5.125342201049846
BIOCARTA_FEEDER_PATHWAY,8.929784012719384,7.6097387520757795
BIOCARTA_FIBRINOLYSIS_PATHWAY,12.584974379867111,16.62234855844193
BIOCARTA_FLUMAZENIL_PATHWAY,-4.648828442410278,7.807921089231345
BIOCARTA_FMLP_PATHWAY,16.69040467390537,-3.7579457901171867
BIOCARTA_FOSB_PATHWAY,2.2220593275764227,-6.000443676037378
BIOCARTA_FREE_PATHWAY,15.050707050781522,11.943113190720112
BIOCARTA_FXR_PATHWAY,13.694603481856705,14.539984380997796
BIOCARTA_G1_PATHWAY,6.731734405953439,1.1885841437882922
BIOCARTA_G2_PATHWAY,6.903289476317838,4.957092542239943
BIOCARTA_GABA_PATHWAY,-6.649327477182415,5.167597519421468
BIOCARTA_GATA3_PATHWAY,-2.452256224524387,-0.8282115171798103
BIOCARTA_GCR_PATHWAY,17.92748741905278,1.1586829570190553
BIOCARTA_GHRELIN_PATHWAY,13.77391411908659,-6.404919008277005
BIOCARTA_GH_PATHWAY,17.50777724963403,1.1453689403248308
BIOCARTA_GLEEVEC_PATHWAY,20.335226734217837,3.5813810098549843
BIOCARTA_GPCR_PATHWAY,13.880083067946487,-2.9323890428000974
BIOCARTA_GRANULOCYTES_PATHWAY,-0.9061900432323076,2.2889016693813127
BIOCARTA_GSK3_PATHWAY,18.120259784066672,0.15592157285350308
