Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
91	0.8685	0.8157	0.7880	0.7661	0.7863	0.6525	0.5473	0.6525	0.7132
92	0.8741	0.8238	0.7794	0.7441	0.8404	0.5603	0.5159	0.5603	0.6723
93	0.8649	0.8148	0.7822	0.7625	0.7686	0.6596	0.5372	0.6596	0.7099
94	0.8734	0.8218	0.7937	0.7881	0.7379	0.7589	0.5736	0.7589	0.7483
95	0.8742	0.8249	0.7908	0.7777	0.7576	0.7092	0.5611	0.7092	0.7326
96	0.8738	0.8248	0.7937	0.7824	0.7556	0.7234	0.5686	0.7234	0.7391
97	0.8759	0.8270	0.7880	0.7799	0.7376	0.7376	0.5597	0.7376	0.7376
98	0.8747	0.8269	0.7679	0.7653	0.6974	0.7518	0.5240	0.7518	0.7235
99	0.8762	0.8232	0.7765	0.7714	0.7143	0.7447	0.5391	0.7447	0.7292
100	0.8717	0.8244	0.7736	0.7667	0.7153	0.7305	0.5316	0.7305	0.7228
101	0.8722	0.8193	0.7880	0.7707	0.7680	0.6809	0.5515	0.6809	0.7218
102	0.8757	0.8218	0.7851	0.7695	0.7578	0.6879	0.5470	0.6879	0.7212
103	0.8682	0.8152	0.7765	0.7657	0.7299	0.7092	0.5338	0.7092	0.7194
104	0.8767	0.8235	0.7765	0.7691	0.7203	0.7305	0.5370	0.7305	0.7254
105	0.8699	0.8201	0.7765	0.7577	0.7561	0.6596	0.5262	0.6596	0.7045
106	0.8742	0.8209	0.7822	0.7682	0.7481	0.6950	0.5426	0.6950	0.7206
107	0.8752	0.8190	0.7794	0.7681	0.7353	0.7092	0.5392	0.7092	0.7220
108	0.8745	0.8210	0.7794	0.7715	0.7254	0.7305	0.5424	0.7305	0.7279
109	0.8775	0.8231	0.7937	0.7858	0.7447	0.7447	0.5716	0.7447	0.7447
110	0.8701	0.8167	0.7650	0.7629	0.6928	0.7518	0.5187	0.7518	0.7211
111	0.8727	0.8173	0.7708	0.7631	0.7133	0.7234	0.5251	0.7234	0.7183
112	0.8748	0.8219	0.7908	0.7823	0.7429	0.7376	0.5652	0.7376	0.7402
113	0.8656	0.8147	0.7765	0.7611	0.7442	0.6809	0.5295	0.6809	0.7111
114	0.8730	0.8212	0.7650	0.7640	0.6903	0.7589	0.5198	0.7589	0.7230
115	0.8730	0.8191	0.7765	0.7737	0.7086	0.7589	0.5411	0.7589	0.7329
116	0.8759	0.8282	0.7736	0.7770	0.6914	0.7943	0.5410	0.7943	0.7393
117	0.8717	0.8244	0.7708	0.7711	0.6943	0.7730	0.5325	0.7730	0.7315
118	0.8765	0.8247	0.7851	0.7832	0.7171	0.7730	0.5593	0.7730	0.7440
119	0.8691	0.8205	0.7822	0.7750	0.7273	0.7376	0.5488	0.7376	0.7324
120	0.8731	0.8252	0.7708	0.7677	0.7020	0.7518	0.5294	0.7518	0.7260
121	0.8722	0.8250	0.7851	0.7763	0.7357	0.7305	0.5532	0.7305	0.7331
122	0.8737	0.8220	0.7822	0.7705	0.7407	0.7092	0.5447	0.7092	0.7246
123	0.8749	0.8292	0.7794	0.7715	0.7254	0.7305	0.5424	0.7305	0.7279
124	0.8767	0.8241	0.7822	0.7739	0.7305	0.7305	0.5478	0.7305	0.7305
125	0.8779	0.8263	0.7765	0.7748	0.7059	0.7660	0.5422	0.7660	0.7347
126	0.8687	0.8145	0.7851	0.7740	0.7426	0.7163	0.5512	0.7163	0.7292
127	0.8675	0.8125	0.7880	0.7764	0.7481	0.7163	0.5567	0.7163	0.7319
128	0.8796	0.8307	0.7765	0.7702	0.7172	0.7376	0.5380	0.7376	0.7273
129	0.8698	0.8207	0.7622	0.7559	0.6986	0.7234	0.5090	0.7234	0.7108
130	0.8761	0.8278	0.7880	0.7821	0.7310	0.7518	0.5617	0.7518	0.7413
131	0.8680	0.8173	0.7822	0.7682	0.7481	0.6950	0.5426	0.6950	0.7206
132	0.8770	0.8266	0.7994	0.7849	0.7752	0.7092	0.5777	0.7092	0.7407
133	0.8722	0.8184	0.7908	0.7800	0.7500	0.7234	0.5632	0.7234	0.7365
